0	1	0
0	2	96
0	3	105
0	4	42
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	0
0	11	51
0	12	57
0	13	42
0	14	46
0	15	48
0	16	27
0	17	2
0	18	0
0	19	55
0	20	49
0	21	33
0	22	42
1	2	0
1	3	110
1	4	83
1	5	49
1	6	0
1	7	0
1	8	0
1	9	0
1	10	49
1	11	60
1	12	52
1	13	50
1	14	59
1	15	61
1	16	1
1	17	22
1	18	47
1	19	46
1	20	50
1	21	57
1	22	42
2	3	0
2	4	110
2	5	105
2	6	37
2	7	3
2	8	0
2	9	35
2	10	45
2	11	52
2	12	49
2	13	54
2	14	50
2	15	49
2	16	0
2	17	50
2	18	61
2	19	55
2	20	50
2	21	43
2	22	55
3	4	0
3	5	82
3	6	108
3	7	85
3	8	42
3	9	50
3	10	59
3	11	40
3	12	47
3	13	58
3	14	49
3	15	0
3	16	43
3	17	46
3	18	48
3	19	80
3	20	46
3	21	45
3	22	49
4	5	0
4	6	93
4	7	90
4	8	67
4	9	55
4	10	55
4	11	52
4	12	50
4	13	57
4	14	0
4	15	42
4	16	51
4	17	43
4	18	42
4	19	50
4	20	63
4	21	42
4	22	0
5	6	0
5	7	113
5	8	103
5	9	76
5	10	43
5	11	59
5	12	52
5	13	0
5	14	46
5	15	59
5	16	55
5	17	38
5	18	60
5	19	52
5	20	44
5	21	28
5	22	2
6	7	0
6	8	95
6	9	102
6	10	78
6	11	41
6	12	0
6	13	44
6	14	59
6	15	56
6	16	52
6	17	42
6	18	44
6	19	52
6	20	0
6	21	4
6	22	34
7	8	0
7	9	112
7	10	95
7	11	92
7	12	53
7	13	53
7	14	38
7	15	50
7	16	54
7	17	53
7	18	45
7	19	0
7	20	60
7	21	49
7	22	52
8	9	0
8	10	95
8	11	82
8	12	75
8	13	51
8	14	47
8	15	49
8	16	43
8	17	37
8	18	0
8	19	50
8	20	52
8	21	45
8	22	45
9	10	0
9	11	83
9	12	104
9	13	66
9	14	43
9	15	54
9	16	54
9	17	0
9	18	51
9	19	43
9	20	55
9	21	40
9	22	53
10	11	0
10	12	85
10	13	97
10	14	72
10	15	54
10	16	0
10	17	32
10	18	52
10	19	58
10	20	42
10	21	52
10	22	50
11	12	0
11	13	104
11	14	99
11	15	95
11	16	63
11	17	36
11	18	53
11	19	46
11	20	44
11	21	53
11	22	58
12	13	0
12	14	110
12	15	87
12	16	72
12	17	55
12	18	63
12	19	47
12	20	55
12	21	60
12	22	0
13	14	0
13	15	111
13	16	113
13	17	61
13	18	50
13	19	48
13	20	45
13	21	0
13	22	0
14	15	0
14	16	108
14	17	107
14	18	74
14	19	50
14	20	0
14	21	0
14	22	0
15	16	0
15	17	114
15	18	84
15	19	81
15	20	1
15	21	0
15	22	0
16	17	0
16	18	106
16	19	108
16	20	38
16	21	0
16	22	0
17	18	0
17	19	96
17	20	106
17	21	38
17	22	0
18	19	0
18	20	102
18	21	114
18	22	50
19	20	0
19	21	99
19	22	84
20	21	0
20	22	104
21	22	0
